datetime,S,sigma,K,expiry,T_years,contracts,shares,opt_price_straddle,opt_value,delta_opt,gamma_opt,vega_1pct_opt,theta_day_opt,cash,equity
2021-01-07,379.1,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-01-08,381.26,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-01-11,378.69,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-01-12,378.77,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-01-13,379.79,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-01-14,378.46,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-01-15,375.7,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-01-19,378.65,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-01-20,383.89,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-01-21,384.24,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-01-22,382.88,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-01-25,384.39,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-01-26,383.79,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-01-27,374.41,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-01-28,377.63,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-01-29,370.07,,379.0,2021-02-05,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-02-01,376.23,,376.0,2021-03-03,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-02-02,381.55,,376.0,2021-03-03,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-02-03,381.85,,376.0,2021-03-03,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
2021-02-04,386.19,,376.0,2021-03-03,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0
